RowNumber,CustomerId,Name,CardNumber,CreditScore,Country,EstimatedSalary,ConversionDate,FirstPurchase,DateOfPitch,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember
1,15634602,Hargrave,5.10013E+15,619,France,101348.88,9/23/2022,9/23/2022,9/23/2022,Female,42,2,0,1,1
2,15647311,Hill,2.01806E+14,608,Spain,112542.58,9/15/2022,9/15/2022,9/15/2022,Female,41,1,83807.86,1,1
3,15619304,Onio,3.5372E+15,502,France,113931.57,2/10/2022,2/10/2022,2/10/2022,Female,42,8,159660.8,3,0
4,15701354,Boni,4.50837E+15,699,France,93826.63,4/6/2022,4/6/2022,4/6/2022,Female,39,1,0,2,0
5,15737888,Mitchell,6.30491E+15,850,Spain,79084.1,1/9/2022,1/9/2022,1/9/2022,Female,43,2,125510.82,1,1
6,15574012,Chu,3.58153E+15,645,Spain,149756.71,4/4/2022,4/4/2022,4/4/2022,Male,44,8,113755.78,2,0
7,15592531,Bartlett,2.01482E+14,822,France,10062.8,8/14/2022,8/14/2022,8/14/2022,Male,50,7,0,2,1
8,15656148,Obinna,3.53215E+15,376,Germany,119346.88,12/6/2022,12/6/2022,12/6/2022,Female,29,4,115046.74,4,0
9,15792365,He,4.91752E+15,501,France,74940.5,6/16/2022,6/16/2022,6/16/2022,Male,44,4,142051.07,2,1
10,15592389,H?,3.5524E+15,684,France,71725.73,10/22/2022,10/22/2022,10/22/2022,Male,27,2,134603.88,1,1
11,15767821,Bearce,3.55807E+15,528,France,80181.12,3/2/2022,3/2/2022,3/2/2022,Male,31,6,102016.72,2,0
12,15737173,Andrews,4.50897E+15,497,Spain,76390.01,11/9/2022,11/9/2022,11/9/2022,Male,24,3,0,2,0
13,15632264,Kay,3.53784E+15,476,France,26260.98,10/30/2022,10/30/2022,10/30/2022,Female,34,10,0,2,0
14,15691483,Chin,3.53327E+15,549,France,190857.79,7/6/2022,7/6/2022,7/6/2022,Female,25,5,0,2,0
15,15600882,Scott,3.60474E+13,635,Spain,65951.65,4/10/2022,4/10/2022,4/10/2022,Female,35,7,0,2,1
16,15643966,Goforth,2.01438E+14,616,Germany,64327.26,12/31/2021,12/31/2021,12/31/2021,Male,45,3,143129.41,2,1
17,15737452,Romeo,4.02698E+15,653,Germany,5097.67,6/11/2022,6/11/2022,6/11/2022,Male,58,1,132602.88,1,0
18,15788218,Henderson,5.0385E+15,549,Spain,14406.41,6/18/2022,6/18/2022,6/18/2022,Female,24,9,0,2,1
19,15661507,Muldrow,3.55737E+15,587,Spain,158684.81,10/28/2022,10/28/2022,10/28/2022,Male,45,6,0,1,0
20,15568982,Hao,3.53806E+15,726,France,54724.03,9/16/2022,9/16/2022,9/16/2022,Female,24,6,0,2,1
21,15577657,McDonald,3.57218E+15,732,France,170886.17,6/24/2022,6/24/2022,6/24/2022,Male,41,8,0,2,1
22,15597945,Dellucci,4.91346E+15,636,Spain,138555.46,5/12/2022,5/12/2022,5/12/2022,Female,32,8,0,2,0
23,15699309,Gerasimov,6.76233E+17,510,Spain,118913.53,11/14/2022,11/14/2022,11/14/2022,Female,38,4,0,1,0
